student_id,student_name,gender,dob,department_id,course,semester,admission_year,email,city
STU0035,Student_35,Male,2004-07-01,3,B.Tech,5,2023,student35@college.edu,Bangalore
STU0036,Student_36,Female,2002-06-11,4,B.Tech,7,2024,student36@college.edu,Mumbai
STU0037,Student_37,Female,2003-04-09,5,B.Tech,1,2019,student37@college.edu,Kolkata
STU0038,Student_38,Male,2001-08-30,6,B.Tech,3,2020,student38@college.edu,Bhopal
STU0039,Student_39,Female,2005-04-02,7,B.Tech,5,2021,student39@college.edu,Pune
STU0040,Student_40,Female,2005-07-31,8,B.Tech,7,2022,student40@college.edu,Delhi
STU0041,Student_41,Male,2004-09-12,1,B.Tech,1,2023,student41@college.edu,Delhi
STU0042,Student_42,Female,2003-05-03,2,B.Tech,3,2024,student42@college.edu,Pune
STU0043,Student_43,Female,2001-03-05,3,B.Tech,5,2019,student43@college.edu,Bhopal
STU0044,Student_44,Female,2005-12-24,4,B.Tech,7,2020,student44@college.edu,Pune
STU0045,Student_45,Female,2003-07-06,5,B.Tech,1,2021,student45@college.edu,Lucknow
STU0046,Student_46,Female,2001-11-08,6,B.Tech,3,2022,student46@college.edu,Lucknow
STU0047,Student_47,Male,2005-12-23,7,B.Tech,5,2023,student47@college.edu,Delhi
STU0048,Student_48,Female,2003-06-07,8,B.Tech,7,2024,student48@college.edu,Indore
STU0049,Student_49,Female,2003-09-24,1,B.Tech,1,2019,student49@college.edu,Bangalore
STU0050,Student_50,Female,2001-08-05,2,B.Tech,3,2020,student50@college.edu,Kolkata
STU0051,Student_51,Female,2005-06-21,3,B.Tech,5,2021,student51@college.edu,Bhopal
STU0052,Student_52,Female,2002-05-29,4,B.Tech,7,2022,student52@college.edu,Mumbai
STU0053,Student_53,Male,2005-08-22,5,B.Tech,1,2023,student53@college.edu,Indore
STU0054,Student_54,Female,2002-04-15,6,B.Tech,3,2024,student54@college.edu,Kolkata
STU0055,Student_55,Male,2002-10-01,7,B.Tech,5,2019,student55@college.edu,Mumbai
STU0056,Student_56,Male,2004-07-09,8,B.Tech,7,2020,student56@college.edu,Delhi
STU0057,Student_57,Male,2004-02-24,1,B.Tech,1,2021,student57@college.edu,Delhi
STU0058,Student_58,Male,2003-03-26,2,B.Tech,3,2022,student58@college.edu,Chennai
STU0059,Student_59,Female,2001-05-09,3,B.Tech,5,2023,student59@college.edu,Pune
STU0060,Student_60,Male,2002-01-01,4,B.Tech,7,2024,student60@college.edu,Jaipur
STU0061,Student_61,Male,2003-11-28,5,B.Tech,1,2019,student61@college.edu,Jaipur
STU0062,Student_62,Male,2003-09-10,6,B.Tech,3,2020,student62@college.edu,Bangalore
STU0063,Student_63,Female,2001-01-17,7,B.Tech,5,2021,student63@college.edu,Chennai
STU0064,Student_64,Female,2002-01-12,8,B.Tech,7,2022,student64@college.edu,Chennai
STU0065,Student_65,Male,2001-02-20,1,B.Tech,1,2023,student65@college.edu,Mumbai
STU0066,Student_66,Male,2003-07-25,2,B.Tech,3,2024,student66@college.edu,Pune
STU0067,Student_67,Female,2003-07-29,3,B.Tech,5,2019,student67@college.edu,Pune
STU0068,Student_68,Female,2003-07-23,4,B.Tech,7,2020,student68@college.edu,Mumbai
STU0069,Student_69,Male,2001-11-11,5,B.Tech,1,2021,student69@college.edu,Pune
STU0070,Student_70,Male,2003-03-05,6,B.Tech,3,2022,student70@college.edu,Kolkata
STU0071,Student_71,Male,2002-05-18,7,B.Tech,5,2023,student71@college.edu,Delhi
STU0072,Student_72,Male,2002-03-16,8,B.Tech,7,2024,student72@college.edu,Chennai
STU0073,Student_73,Female,2001-08-16,1,B.Tech,1,2019,student73@college.edu,Bhopal
STU0074,Student_74,Female,2002-11-13,2,B.Tech,3,2020,student74@college.edu,Bhopal
STU0075,Student_75,Male,2005-06-28,3,B.Tech,5,2021,student75@college.edu,Chennai
STU0076,Student_76,Male,2001-09-09,4,B.Tech,7,2022,student76@college.edu,Delhi
STU0077,Student_77,Female,2002-12-11,5,B.Tech,1,2023,student77@college.edu,Bhopal
STU0078,Student_78,Male,2001-07-21,6,B.Tech,3,2024,student78@college.edu,Chennai
STU0079,Student_79,Female,2005-10-01,7,B.Tech,5,2019,student79@college.edu,Chennai
STU0080,Student_80,Male,2001-09-08,8,B.Tech,7,2020,student80@college.edu,Bhopal
STU0081,Student_81,Female,2002-03-15,1,B.Tech,1,2021,student81@college.edu,Kolkata
STU0082,Student_82,Female,2001-06-09,2,B.Tech,3,2022,student82@college.edu,Indore
STU0083,Student_83,Female,2004-06-17,3,B.Tech,5,2023,student83@college.edu,Bhopal
STU0084,Student_84,Male,2003-04-25,4,B.Tech,7,2024,student84@college.edu,Bhopal
STU0085,Student_85,Female,2002-06-04,5,B.Tech,1,2019,student85@college.edu,Mumbai
STU0086,Student_86,Male,2004-05-07,6,B.Tech,3,2020,student86@college.edu,Jaipur
STU0087,Student_87,Female,2004-04-09,7,B.Tech,5,2021,student87@college.edu,Jaipur
STU0088,Student_88,Male,2002-08-14,8,B.Tech,7,2022,student88@college.edu,Bangalore
STU0089,Student_89,Female,2005-04-18,1,B.Tech,1,2023,student89@college.edu,Delhi
STU0090,Student_90,Female,2004-12-23,2,B.Tech,3,2024,student90@college.edu,Chennai
STU0091,Student_91,Male,2003-11-05,3,B.Tech,5,2019,student91@college.edu,Jaipur
STU0092,Student_92,Female,2005-08-08,4,B.Tech,7,2020,student92@college.edu,Delhi
STU0093,Student_93,Male,2003-07-09,5,B.Tech,1,2021,student93@college.edu,Lucknow
STU0094,Student_94,Male,2003-06-08,6,B.Tech,3,2022,student94@college.edu,Bhopal
STU0095,Student_95,Female,2005-01-14,7,B.Tech,5,2023,student95@college.edu,Delhi
STU0096,Student_96,Male,2003-10-14,8,B.Tech,7,2024,student96@college.edu,Kolkata
STU0097,Student_97,Male,2003-04-10,1,B.Tech,1,2019,student97@college.edu,Chennai
STU0098,Student_98,Male,2003-03-22,2,B.Tech,3,2020,student98@college.edu,Lucknow
STU0099,Student_99,Male,2004-01-28,3,B.Tech,5,2021,student99@college.edu,Delhi
STU0100,Student_100,Female,2001-09-28,4,B.Tech,7,2022,student100@college.edu,Bangalore
STU0101,Student_101,Female,2003-08-27,5,B.Tech,1,2023,student101@college.edu,Bangalore
STU0102,Student_102,Female,2001-06-05,6,B.Tech,3,2024,student102@college.edu,Jaipur
STU0103,Student_103,Male,2001-03-28,7,B.Tech,5,2019,student103@college.edu,Kolkata
STU0104,Student_104,Female,2002-07-09,8,B.Tech,7,2020,student104@college.edu,Pune
STU0105,Student_105,Male,2005-07-02,1,B.Tech,1,2021,student105@college.edu,Bhopal
STU0106,Student_106,Male,2004-09-09,2,B.Tech,3,2022,student106@college.edu,Lucknow
STU0107,Student_107,Male,2005-02-26,3,B.Tech,5,2023,student107@college.edu,Pune
STU0108,Student_108,Female,2004-09-08,4,B.Tech,7,2024,student108@college.edu,Lucknow
STU0109,Student_109,Female,2002-08-14,5,B.Tech,1,2019,student109@college.edu,Lucknow
STU0110,Student_110,Female,2002-06-06,6,B.Tech,3,2020,student110@college.edu,Kolkata
STU0111,Student_111,Female,2005-02-24,7,B.Tech,5,2021,student111@college.edu,Bhopal
STU0112,Student_112,Male,2002-11-29,8,B.Tech,7,2022,student112@college.edu,Kolkata
STU0113,Student_113,Female,2003-12-13,1,B.Tech,1,2023,student113@college.edu,Bhopal
STU0114,Student_114,Female,2004-08-11,2,B.Tech,3,2024,student114@college.edu,Kolkata
STU0115,Student_115,Male,2004-02-29,3,B.Tech,5,2019,student115@college.edu,Kolkata
STU0116,Student_116,Female,2001-07-29,4,B.Tech,7,2020,student116@college.edu,Indore
STU0117,Student_117,Female,2001-02-14,5,B.Tech,1,2021,student117@college.edu,Bangalore
STU0118,Student_118,Female,2001-06-07,6,B.Tech,3,2022,student118@college.edu,Bangalore
STU0119,Student_119,Female,2005-12-25,7,B.Tech,5,2023,student119@college.edu,Lucknow
STU0120,Student_120,Male,2005-11-02,8,B.Tech,7,2024,student120@college.edu,Indore
STU0121,Student_121,Female,2001-10-26,1,B.Tech,1,2019,student121@college.edu,Kolkata
STU0122,Student_122,Female,2002-09-17,2,B.Tech,3,2020,student122@college.edu,Chennai
STU0123,Student_123,Male,2004-02-05,3,B.Tech,5,2021,student123@college.edu,Bangalore
STU0124,Student_124,Female,2002-05-25,4,B.Tech,7,2022,student124@college.edu,Indore
STU0125,Student_125,Female,2004-04-21,5,B.Tech,1,2023,student125@college.edu,Kolkata
STU0126,Student_126,Male,2002-07-05,6,B.Tech,3,2024,student126@college.edu,Pune
STU0127,Student_127,Male,2005-01-21,7,B.Tech,5,2019,student127@college.edu,Jaipur
STU0128,Student_128,Female,2004-05-10,8,B.Tech,7,2020,student128@college.edu,Bangalore
STU0129,Student_129,Male,2002-01-16,1,B.Tech,1,2021,student129@college.edu,Delhi
STU0130,Student_130,Female,2002-11-25,2,B.Tech,3,2022,student130@college.edu,Pune
STU0131,Student_131,Male,2005-12-09,3,B.Tech,5,2023,student131@college.edu,Indore
STU0132,Student_132,Female,2003-12-22,4,B.Tech,7,2024,student132@college.edu,Mumbai
STU0133,Student_133,Male,2003-09-06,5,B.Tech,1,2019,student133@college.edu,Chennai
STU0134,Student_134,Male,2001-06-09,6,B.Tech,3,2020,student134@college.edu,Bhopal
STU0135,Student_135,Male,2005-10-20,7,B.Tech,5,2021,student135@college.edu,Pune
STU0136,Student_136,Male,2001-08-12,8,B.Tech,7,2022,student136@college.edu,Lucknow
STU0137,Student_137,Male,2005-07-27,1,B.Tech,1,2023,student137@college.edu,Chennai
STU0138,Student_138,Male,2001-01-12,2,B.Tech,3,2024,student138@college.edu,Kolkata
STU0139,Student_139,Male,2001-12-05,3,B.Tech,5,2019,student139@college.edu,Kolkata
STU0140,Student_140,Female,2002-01-12,4,B.Tech,7,2020,student140@college.edu,Kolkata
STU0141,Student_141,Male,2002-01-11,5,B.Tech,1,2021,student141@college.edu,Jaipur
STU0142,Student_142,Male,2005-03-16,6,B.Tech,3,2022,student142@college.edu,Pune
STU0143,Student_143,Female,2001-11-07,7,B.Tech,5,2023,student143@college.edu,Lucknow
STU0144,Student_144,Female,2005-10-21,8,B.Tech,7,2024,student144@college.edu,Pune
STU0145,Student_145,Female,2001-02-27,1,B.Tech,1,2019,student145@college.edu,Kolkata
STU0146,Student_146,Male,2004-11-19,2,B.Tech,3,2020,student146@college.edu,Lucknow
STU0147,Student_147,Male,2001-03-20,3,B.Tech,5,2021,student147@college.edu,Jaipur
STU0148,Student_148,Male,2004-12-28,4,B.Tech,7,2022,student148@college.edu,Indore
STU0149,Student_149,Male,2004-08-21,5,B.Tech,1,2023,student149@college.edu,Bhopal
STU0150,Student_150,Male,2002-04-29,6,B.Tech,3,2024,student150@college.edu,Chennai
STU0151,Student_151,Female,2005-10-22,7,B.Tech,5,2019,student151@college.edu,Mumbai
STU0152,Student_152,Male,2004-11-23,8,B.Tech,7,2020,student152@college.edu,Mumbai
STU0153,Student_153,Male,2001-12-09,1,B.Tech,1,2021,student153@college.edu,Chennai
STU0154,Student_154,Male,2003-04-07,2,B.Tech,3,2022,student154@college.edu,Delhi
STU0155,Student_155,Male,2001-09-08,3,B.Tech,5,2023,student155@college.edu,Pune
STU0156,Student_156,Female,2003-03-22,4,B.Tech,7,2024,student156@college.edu,Lucknow
STU0157,Student_157,Female,2001-08-05,5,B.Tech,1,2019,student157@college.edu,Mumbai
STU0158,Student_158,Female,2002-04-30,6,B.Tech,3,2020,student158@college.edu,Indore
STU0159,Student_159,Male,2003-02-04,7,B.Tech,5,2021,student159@college.edu,Mumbai
STU0160,Student_160,Female,2003-01-08,8,B.Tech,7,2022,student160@college.edu,Lucknow
STU0161,Student_161,Male,2004-12-26,1,B.Tech,1,2023,student161@college.edu,Jaipur
STU0162,Student_162,Female,2003-05-11,2,B.Tech,3,2024,student162@college.edu,Lucknow
STU0163,Student_163,Male,2003-09-24,3,B.Tech,5,2019,student163@college.edu,Bangalore
STU0164,Student_164,Male,2002-06-26,4,B.Tech,7,2020,student164@college.edu,Chennai
STU0165,Student_165,Male,2001-07-27,5,B.Tech,1,2021,student165@college.edu,Delhi
STU0166,Student_166,Female,2004-09-11,6,B.Tech,3,2022,student166@college.edu,Indore
STU0167,Student_167,Female,2005-10-24,7,B.Tech,5,2023,student167@college.edu,Pune
STU0168,Student_168,Female,2003-12-06,8,B.Tech,7,2024,student168@college.edu,Lucknow
STU0169,Student_169,Female,2001-05-27,1,B.Tech,1,2019,student169@college.edu,Kolkata
STU0170,Student_170,Male,2002-05-29,2,B.Tech,3,2020,student170@college.edu,Bhopal
STU0171,Student_171,Female,2003-09-18,3,B.Tech,5,2021,student171@college.edu,Pune
STU0172,Student_172,Female,2005-03-29,4,B.Tech,7,2022,student172@college.edu,Mumbai
STU0173,Student_173,Male,2004-10-21,5,B.Tech,1,2023,student173@college.edu,Chennai
STU0174,Student_174,Male,2005-01-27,6,B.Tech,3,2024,student174@college.edu,Mumbai
STU0175,Student_175,Female,2001-06-25,7,B.Tech,5,2019,student175@college.edu,Indore
STU0176,Student_176,Female,2003-01-11,8,B.Tech,7,2020,student176@college.edu,Kolkata
STU0177,Student_177,Female,2004-07-31,1,B.Tech,1,2021,student177@college.edu,Indore
STU0178,Student_178,Female,2003-07-21,2,B.Tech,3,2022,student178@college.edu,Lucknow
STU0179,Student_179,Female,2005-04-26,3,B.Tech,5,2023,student179@college.edu,Mumbai
STU0180,Student_180,Female,2003-01-29,4,B.Tech,7,2024,student180@college.edu,Chennai
STU0181,Student_181,Female,2001-10-24,5,B.Tech,1,2019,student181@college.edu,Bhopal
STU0182,Student_182,Male,2002-10-03,6,B.Tech,3,2020,student182@college.edu,Jaipur
STU0183,Student_183,Male,2003-10-09,7,B.Tech,5,2021,student183@college.edu,Bhopal
STU0184,Student_184,Female,2002-12-17,8,B.Tech,7,2022,student184@college.edu,Indore
STU0185,Student_185,Male,2005-03-22,1,B.Tech,1,2023,student185@college.edu,Chennai
STU0186,Student_186,Female,2005-11-22,2,B.Tech,3,2024,student186@college.edu,Bhopal
STU0187,Student_187,Female,2003-11-08,3,B.Tech,5,2019,student187@college.edu,Pune
STU0188,Student_188,Male,2002-07-27,4,B.Tech,7,2020,student188@college.edu,Lucknow
STU0189,Student_189,Male,2003-11-26,5,B.Tech,1,2021,student189@college.edu,Lucknow
STU0190,Student_190,Female,2003-01-09,6,B.Tech,3,2022,student190@college.edu,Pune
STU0191,Student_191,Male,2005-02-25,7,B.Tech,5,2023,student191@college.edu,Lucknow
STU0192,Student_192,Female,2003-04-16,8,B.Tech,7,2024,student192@college.edu,Bhopal
STU0193,Student_193,Female,2005-10-07,1,B.Tech,1,2019,student193@college.edu,Lucknow
STU0194,Student_194,Male,2001-05-31,2,B.Tech,3,2020,student194@college.edu,Indore
STU0195,Student_195,Male,2005-09-26,3,B.Tech,5,2021,student195@college.edu,Jaipur
STU0196,Student_196,Female,2004-10-01,4,B.Tech,7,2022,student196@college.edu,Delhi
STU0197,Student_197,Female,2005-06-05,5,B.Tech,1,2023,student197@college.edu,Delhi
STU0198,Student_198,Male,2004-03-02,6,B.Tech,3,2024,student198@college.edu,Bhopal
STU0199,Student_199,Female,2001-02-15,7,B.Tech,5,2019,student199@college.edu,Bhopal
STU0200,Student_200,Male,2003-10-18,8,B.Tech,7,2020,student200@college.edu,Mumbai
STU0201,Student_201,Female,2001-08-30,1,B.Tech,1,2021,student201@college.edu,Lucknow
STU0202,Student_202,Male,2001-12-25,2,B.Tech,3,2022,student202@college.edu,Kolkata
STU0203,Student_203,Male,2003-04-24,3,B.Tech,5,2023,student203@college.edu,Delhi
STU0204,Student_204,Female,2003-05-30,4,B.Tech,7,2024,student204@college.edu,Mumbai
STU0205,Student_205,Male,2002-07-27,5,B.Tech,1,2019,student205@college.edu,Bangalore
STU0206,Student_206,Male,2004-07-27,6,B.Tech,3,2020,student206@college.edu,Indore
STU0207,Student_207,Female,2003-04-28,7,B.Tech,5,2021,student207@college.edu,Chennai
STU0208,Student_208,Female,2003-02-16,8,B.Tech,7,2022,student208@college.edu,Bangalore
STU0209,Student_209,Male,2005-03-09,1,B.Tech,1,2023,student209@college.edu,Delhi
STU0210,Student_210,Male,2003-05-22,2,B.Tech,3,2024,student210@college.edu,Mumbai
STU0211,Student_211,Male,2004-08-04,3,B.Tech,5,2019,student211@college.edu,Kolkata
STU0212,Student_212,Female,2004-05-27,4,B.Tech,7,2020,student212@college.edu,Jaipur
STU0213,Student_213,Female,2003-10-25,5,B.Tech,1,2021,student213@college.edu,Lucknow
STU0214,Student_214,Female,2002-11-19,6,B.Tech,3,2022,student214@college.edu,Delhi
STU0215,Student_215,Female,2003-04-10,7,B.Tech,5,2023,student215@college.edu,Kolkata
STU0216,Student_216,Male,2003-05-27,8,B.Tech,7,2024,student216@college.edu,Delhi
STU0217,Student_217,Male,2003-11-01,1,B.Tech,1,2019,student217@college.edu,Bhopal
STU0218,Student_218,Male,2005-03-24,2,B.Tech,3,2020,student218@college.edu,Mumbai
STU0219,Student_219,Female,2002-08-28,3,B.Tech,5,2021,student219@college.edu,Chennai
STU0220,Student_220,Male,2001-12-06,4,B.Tech,7,2022,student220@college.edu,Indore
STU0221,Student_221,Female,2003-04-17,5,B.Tech,1,2023,student221@college.edu,Mumbai
STU0222,Student_222,Female,2002-08-16,6,B.Tech,3,2024,student222@college.edu,Delhi
STU0223,Student_223,Male,2005-04-27,7,B.Tech,5,2019,student223@college.edu,Kolkata
STU0224,Student_224,Female,2004-09-18,8,B.Tech,7,2020,student224@college.edu,Kolkata
STU0225,Student_225,Male,2003-12-08,1,B.Tech,1,2021,student225@college.edu,Pune
STU0226,Student_226,Female,2002-10-22,2,B.Tech,3,2022,student226@college.edu,Pune
STU0227,Student_227,Male,2001-07-12,3,B.Tech,5,2023,student227@college.edu,Bhopal
STU0228,Student_228,Female,2005-09-15,4,B.Tech,7,2024,student228@college.edu,Pune
STU0229,Student_229,Female,2004-12-27,5,B.Tech,1,2019,student229@college.edu,Jaipur
STU0230,Student_230,Female,2001-03-19,6,B.Tech,3,2020,student230@college.edu,Delhi
STU0231,Student_231,Male,2001-07-02,7,B.Tech,5,2021,student231@college.edu,Jaipur
STU0232,Student_232,Female,2001-07-22,8,B.Tech,7,2022,student232@college.edu,Bangalore
STU0233,Student_233,Female,2001-04-24,1,B.Tech,1,2023,student233@college.edu,Delhi
STU0234,Student_234,Female,2003-02-07,2,B.Tech,3,2024,student234@college.edu,Chennai
STU0235,Student_235,Male,2004-06-30,3,B.Tech,5,2019,student235@college.edu,Mumbai
STU0236,Student_236,Male,2002-12-04,4,B.Tech,7,2020,student236@college.edu,Bangalore
STU0237,Student_237,Female,2004-06-15,5,B.Tech,1,2021,student237@college.edu,Bhopal
STU0238,Student_238,Female,2005-10-15,6,B.Tech,3,2022,student238@college.edu,Kolkata
STU0239,Student_239,Male,2005-09-27,7,B.Tech,5,2023,student239@college.edu,Indore
STU0240,Student_240,Male,2005-04-30,8,B.Tech,7,2024,student240@college.edu,Chennai
STU0241,Student_241,Male,2001-01-21,1,B.Tech,1,2019,student241@college.edu,Kolkata
STU0242,Student_242,Male,2004-04-20,2,B.Tech,3,2020,student242@college.edu,Mumbai
STU0243,Student_243,Female,2005-08-20,3,B.Tech,5,2021,student243@college.edu,Bhopal
STU0244,Student_244,Female,2004-12-30,4,B.Tech,7,2022,student244@college.edu,Chennai
STU0245,Student_245,Female,2002-06-13,5,B.Tech,1,2023,student245@college.edu,Lucknow
STU0246,Student_246,Male,2004-08-16,6,B.Tech,3,2024,student246@college.edu,Lucknow
STU0247,Student_247,Female,2003-01-16,7,B.Tech,5,2019,student247@college.edu,Pune
STU0248,Student_248,Female,2003-06-13,8,B.Tech,7,2020,student248@college.edu,Mumbai
STU0249,Student_249,Female,2004-11-26,1,B.Tech,1,2021,student249@college.edu,Mumbai
STU0250,Student_250,Female,2002-07-09,2,B.Tech,3,2022,student250@college.edu,Indore
STU0251,Student_251,Female,2001-11-09,3,B.Tech,5,2023,student251@college.edu,Jaipur
STU0252,Student_252,Male,2003-10-22,4,B.Tech,7,2024,student252@college.edu,Mumbai
STU0253,Student_253,Female,2001-06-11,5,B.Tech,1,2019,student253@college.edu,Indore
STU0254,Student_254,Male,2001-04-20,6,B.Tech,3,2020,student254@college.edu,Mumbai
STU0255,Student_255,Male,2002-08-16,7,B.Tech,5,2021,student255@college.edu,Pune
STU0256,Student_256,Female,2004-05-26,8,B.Tech,7,2022,student256@college.edu,Chennai
STU0257,Student_257,Male,2004-07-26,1,B.Tech,1,2023,student257@college.edu,Delhi
STU0258,Student_258,Male,2003-07-24,2,B.Tech,3,2024,student258@college.edu,Pune
STU0259,Student_259,Male,2001-11-12,3,B.Tech,5,2019,student259@college.edu,Indore
STU0260,Student_260,Female,2001-03-04,4,B.Tech,7,2020,student260@college.edu,Kolkata
STU0261,Student_261,Female,2003-05-19,5,B.Tech,1,2021,student261@college.edu,Chennai
STU0262,Student_262,Female,2003-01-30,6,B.Tech,3,2022,student262@college.edu,Indore
STU0263,Student_263,Female,2005-02-27,7,B.Tech,5,2023,student263@college.edu,Delhi
STU0264,Student_264,Female,2005-11-15,8,B.Tech,7,2024,student264@college.edu,Lucknow
STU0265,Student_265,Male,2004-06-24,1,B.Tech,1,2019,student265@college.edu,Lucknow
STU0266,Student_266,Female,2003-08-06,2,B.Tech,3,2020,student266@college.edu,Chennai
STU0267,Student_267,Female,2002-07-25,3,B.Tech,5,2021,student267@college.edu,Bangalore
STU0268,Student_268,Female,2004-09-25,4,B.Tech,7,2022,student268@college.edu,Delhi
STU0269,Student_269,Female,2005-07-11,5,B.Tech,1,2023,student269@college.edu,Kolkata
STU0270,Student_270,Female,2001-12-26,6,B.Tech,3,2024,student270@college.edu,Delhi
STU0271,Student_271,Female,2001-05-08,7,B.Tech,5,2019,student271@college.edu,Delhi
STU0272,Student_272,Male,2001-03-01,8,B.Tech,7,2020,student272@college.edu,Indore
STU0273,Student_273,Male,2002-11-01,1,B.Tech,1,2021,student273@college.edu,Lucknow
STU0274,Student_274,Female,2005-06-01,2,B.Tech,3,2022,student274@college.edu,Chennai
STU0275,Student_275,Female,2001-09-15,3,B.Tech,5,2023,student275@college.edu,Indore
STU0276,Student_276,Male,2004-08-25,4,B.Tech,7,2024,student276@college.edu,Mumbai
STU0277,Student_277,Female,2005-11-22,5,B.Tech,1,2019,student277@college.edu,Delhi
STU0278,Student_278,Male,2001-08-12,6,B.Tech,3,2020,student278@college.edu,Delhi
STU0279,Student_279,Female,2005-05-29,7,B.Tech,5,2021,student279@college.edu,Bhopal
STU0280,Student_280,Male,2002-10-25,8,B.Tech,7,2022,student280@college.edu,Lucknow
STU0281,Student_281,Male,2001-02-13,1,B.Tech,1,2023,student281@college.edu,Jaipur
STU0282,Student_282,Female,2005-04-16,2,B.Tech,3,2024,student282@college.edu,Lucknow
STU0283,Student_283,Female,2003-07-01,3,B.Tech,5,2019,student283@college.edu,Kolkata
STU0284,Student_284,Male,2004-12-30,4,B.Tech,7,2020,student284@college.edu,Indore
STU0285,Student_285,Female,2002-11-15,5,B.Tech,1,2021,student285@college.edu,Delhi
STU0286,Student_286,Male,2001-01-08,6,B.Tech,3,2022,student286@college.edu,Indore
STU0287,Student_287,Female,2003-01-11,7,B.Tech,5,2023,student287@college.edu,Mumbai
STU0288,Student_288,Male,2002-01-30,8,B.Tech,7,2024,student288@college.edu,Delhi
STU0289,Student_289,Male,2004-01-15,1,B.Tech,1,2019,student289@college.edu,Indore
STU0290,Student_290,Male,2001-07-01,2,B.Tech,3,2020,student290@college.edu,Lucknow
STU0291,Student_291,Male,2003-06-15,3,B.Tech,5,2021,student291@college.edu,Bhopal
STU0292,Student_292,Male,2001-09-28,4,B.Tech,7,2022,student292@college.edu,Bhopal
STU0293,Student_293,Female,2003-09-01,5,B.Tech,1,2023,student293@college.edu,Chennai
STU0294,Student_294,Male,2004-07-12,6,B.Tech,3,2024,student294@college.edu,Mumbai
STU0295,Student_295,Male,2005-08-04,7,B.Tech,5,2019,student295@college.edu,Chennai
STU0296,Student_296,Female,2005-02-04,8,B.Tech,7,2020,student296@college.edu,Indore
STU0297,Student_297,Female,2005-06-19,1,B.Tech,1,2021,student297@college.edu,Delhi
STU0298,Student_298,Female,2001-12-17,2,B.Tech,3,2022,student298@college.edu,Bangalore
STU0299,Student_299,Male,2001-11-13,3,B.Tech,5,2023,student299@college.edu,Delhi
STU0300,Student_300,Female,2002-11-13,4,B.Tech,7,2024,student300@college.edu,Bangalore
